#ClusterName #ID Mass LogTeff Logg Av "Log age" DistMod G sigG Bp sigBp Rp sigRp BP-RP MG BP-RP_0 BP-RP_0_lim allDeltas
NGC_6494 2273987967057932177* 9999.0 9999.0 9999.0 1.22345 8.57978 9.35202 13.80787 0.00046 14.26578 0.00066 13.16386 0.00059 1.1019199999999998 3.3669795000000002 0.5133413513513512 -0.055766598787442945 -0.02267235300215642
NGC_6494 2273987966923712975 0.82629 3.7039 4.628 1.28374 8.57978 9.35202 16.44374 0.00065 17.22842 0.00346 15.5324 0.00167 1.696019999999999 5.949191399999998 1.078436972972972 -0.055766598787442945 0.0015413896916136594
NGC_6494 2273987967057934209* 9999.0 9999.0 9999.0 1.28727 8.57978 9.35202 14.24728 0.00046 14.75586 0.00078 13.55401 0.00066 1.2018500000000003 3.7495897000000005 0.5825687567567571 -0.055766598787442945 -0.005061615038878475
NGC_6494 2273987967057935389* 9999.0 9999.0 9999.0 1.18579 8.57978 9.35202 15.23853 0.00048 15.91165 0.00134 14.40433 0.00091 1.50732 4.831156900000002 0.9368588648648649 -0.055766598787442945 -0.6072750794588595
NGC_6494 2273987967057930540* 9999.0 9999.0 9999.0 1.32104 8.57978 9.35202 16.00414 0.00051 16.82808 0.00262 15.05969 0.00124 1.7683900000000001 5.4763944 1.1328626486486488 -0.055766598787442945 -0.646544496562452
NGC_6494 2273987967057927511A 1.22853 3.8093 4.388 1.15277 8.57978 9.35202 14.20591 0.00055 14.68767 0.00076 13.53772 0.00066 1.1499500000000005 3.8279246999999996 0.5953741621621627 -0.055766598787442945 0.004361544433616249
NGC_6494 2273987966923711755 0.65208 3.6202 4.677 1.43492 8.57978 9.35202 17.59261 0.00087 18.65669 0.01159 16.50318 0.00338 2.1535100000000007 6.963511200000001 1.463197135135136 -0.055766598787442945 0.014911391005947294
NGC_6494 2273987967057920993* 9999.0 9999.0 9999.0 1.35004 8.57978 9.35202 17.39041 0.00068 18.42197 0.00948 16.30726 0.00293 2.1147100000000023 6.8368544 1.4652312972972998 -0.055766598787442945 -0.11613245090152624
NGC_6494 2273987966923708274 1.18675 3.8012 4.415 1.17247 8.57978 9.35202 14.47573 0.00056 14.98749 0.00085 13.78076 0.00071 1.2067299999999985 4.080211700000001 0.6426768648648634 -0.055766598787442945 0.002793064180733218
NGC_6494 2273987967057929345* 9999.0 9999.0 9999.0 1.30713 8.57978 9.35202 15.77564 0.0005 16.46291 0.00201 14.93047 0.00115 1.5324400000000011 5.2602743 0.9036044864864877 -0.055766598787442945 -0.04665122327091975
NGC_6494 2273987966923716891 0.67529 3.6328 4.671 1.38031 8.57978 9.35202 17.77241 0.00093 18.8827 0.01426 16.66498 0.00381 2.21772 7.191914100000002 1.553678972972973 -0.055766598787442945 0.041934631968611136
NGC_6494 2273987966923712611 0.74294 3.67 4.661 1.26578 8.57978 9.35202 17.20496 0.00077 18.15773 0.00745 16.1816 0.00264 1.9761300000000013 6.726395800000001 1.3671871891891905 -0.055766598787442945 -0.014486352309133643
NGC_6494 2273987966923715362 0.69177 3.6418 4.667 1.27605 8.57978 9.35202 17.85244 0.00096 18.97311 0.01559 16.72776 0.00403 2.2453499999999984 7.364735500000002 1.631466486486485 -0.055766598787442945 0.03454008964987576
NGC_6494 2273987966923702653 1.06773 3.776 4.494 1.24422 8.57978 9.35202 14.91362 0.00057 15.47685 0.00108 14.16916 0.00081 1.307690000000001 4.4542442 0.7091192972972982 -0.055766598787442945 0.030648139955883558
NGC_6494 2273987967057929199* 9999.0 9999.0 9999.0 1.41205 8.57978 9.35202 17.02734 0.00061 17.97494 0.00625 16.007 0.00235 1.9679399999999987 6.4185954999999995 1.2886294594594583 -0.055766598787442945 -0.13890755385429365
