#ClusterName,#ID,Mass,LogTeff,Logg,Av,Log age,DistMod,G,Bp,Rp
NGC_6494,2273987967057920464A,0.23789,3.4873,4.987,1.4459,8.57978,9.35202,22.196,24.56601,20.72594
NGC_6494,2273987967057920464B,0.17,3.508,4.23,1.4459,8.57978,9.35202,22.51785,25.01578,21.02915
NGC_6494,2273987966923702738,0.53985,3.5665,4.736,1.08404,8.57978,9.35202,18.95085,20.39577,17.70176
NGC_6494,2273987966923702742,0.80972,3.6977,4.635,1.29125,8.57978,9.35202,16.33283,17.09385,15.43409
NGC_6494,2273987966923702743,0.37391,3.5189,4.898,1.31121,8.57978,9.35202,20.5183,22.3699,19.14874
NGC_6494,2273987967057920473*,9999.0,9999.0,9999.0,1.40041,8.57978,9.35202,11.38713,11.64182,10.96855
NGC_6494,2273987967057920473A,2.13528,3.9738,4.184,1.40041,8.57978,9.35202,11.9595,12.20349,11.55446
NGC_6494,2273987967057920473B,1.926,3.898,4.204,1.40041,8.57978,9.35202,12.35588,12.62618,11.91811
NGC_6494,2273987966923702747,0.34826,3.513,4.922,1.2114,8.57978,9.35202,21.09815,23.08346,19.69804
NGC_6494,2273987967057920477*,9999.0,9999.0,9999.0,1.40216,8.57978,9.35202,11.27037,11.50624,10.8736
NGC_6494,2273987967057920477A,2.46092,4.0007,4.052,1.40216,8.57978,9.35202,11.30958,11.53448,10.92893
NGC_6494,2273987967057920477B,1.137,3.801,4.446,1.40216,8.57978,9.35202,14.89565,15.4824,14.13303
NGC_6494,2273987967057920480*,9999.0,9999.0,9999.0,1.14495,8.57978,9.35202,21.55053,23.93438,20.07836
NGC_6494,2273987967057920480A,0.17063,3.4614,5.033,1.14495,8.57978,9.35202,22.34338,24.74411,20.86866
NGC_6494,2273987967057920480B,0.166,3.508,4.241,1.14495,8.57978,9.35202,22.26428,24.63266,20.79447
NGC_6494,2273987967057920483*,9999.0,9999.0,9999.0,1.49565,8.57978,9.35202,21.12519,23.23656,19.69746
NGC_6494,2273987967057920483A,0.33917,3.511,4.927,1.49565,8.57978,9.35202,21.20409,23.25897,19.78951
NGC_6494,2273987967057920483B,0.073,3.204,5.36,1.49565,8.57978,9.35202,24.01101,27.4609,22.4224
