# cluster             nb_members   logAge    BP_RP_0_min             BP_RP_0_max         
  NGC_2244            351          7.10037   -0.25500259459459296    1.478282486486484   
  NGC_225             212          8.45939   0.10817481081081204     1.7019557297297283  
  NGC_2264            134          7.43933   -0.13389508108108006    2.391270054054053   
  NGC_2281            381          8.79029   0.2864132972972986      2.2210981621621646  
  NGC_2287            583          8.23045   0.01239470270270318     2.0288122702702696  
  NGC_2301            476          8.33041   0.058153243243243835    1.74484027027027    
  NGC_2323            175          8.12057   -0.009591783783784946   1.5385267567567549  
  NGC_2343            119          7.94002   -0.024966864864864602   1.398087945945948   
  NGC_2353            137          8.0086    -0.03613486486486511    1.3687849189189172  
  NGC_2358            75           8.8202    0.3194810810810813      1.6177180000000002  
  NGC_2360            577          9.0086    0.4446479459459471      1.4074656216216221  
  NGC_2374            74           8.45939   0.1322598918918915      1.3368538378378378  
  NGC_2422            530          8.04139   -0.03541400000000089    2.3382629189189204  
  NGC_2423            256          9.04139   0.46909621621621733     1.6446551351351342  
  NGC_2447            616          8.75967   0.2695811891891896      1.6543087027027017  
  NGC_2448            114          7.98      -0.03497562162162096    1.4954578378378398  
  NGC_2451A           311          7.55023   -0.12185551351351287    3.838834918918918   
  NGC_2451B           253          7.60959   -0.1202366486486498     2.9024429729729744  
  NGC_2516            1791         8.38021   0.061371945945946194    2.347984432432432   
  NGC_2527            284          8.84011   0.32239021621621633     2.083953297297297   
  NGC_2539            418          8.84011   0.30663659459459613     1.5454456216216241  
  NGC_2546            303          8.14922   -0.010181837837838492   1.6273789729729733  
  NGC_2547            206          7.51055   -0.13150994594594628    2.947039189189189   
  NGC_2548            500          8.58995   0.16609654054054057     1.9670385405405433  
  NGC_2571            135          7.42975   -0.15333232432432445    1.8611306486486485  
  NGC_2632            748          8.82995   0.3444891351351351      3.159876216216216   
  NGC_2669            195          8.13033   0.011348918918918316    1.5085712972972984  
  NGC_2682            658          9.63043   0.9375603243243245      1.911809027027026   
  NGC_2910            132          8.11059   -0.008915837837837693   1.5215138378378386  
  NGC_2925            154          8.11059   -0.018795783783783687   1.8925692432432457  
  NGC_3114            1051         8.16137   -0.008286432432433571   1.6203427027027002  
  NGC_3228            108          7.48001   -0.1489242702702706     2.714600486486487   
  NGC_3532            1727         8.59988   0.15503924324324295     2.2620651351351375  
  NGC_5460            136          8.19866   0.004704918918920109    1.9599650270270275  
  NGC_5662            294          8.30103   0.04418794594594583     1.6889348648648637  
  NGC_5822            437          8.95999   0.4035464864864852      1.7126900540540535  
  NGC_6025            253          8.02119   -0.039917783783783745   1.86854643243243    
  NGC_6087            268          8.0       -0.04010589189189184    1.5577481621621636  
  NGC_6124            936          8.28103   0.025379189189190354    1.8072111351351354  
  NGC_6193            342          6.71012   -0.3349788648648651     2.418271675675677   
  NGC_6204            92           7.96988   -0.04649697297297256    1.3634215675675694  
  NGC_6231            464          7.13988   -0.2518864324324318     2.074287513513513   
  NGC_6242            302          7.88986   -0.05983151351351407    1.3715505405405386  
  NGC_6249            55           7.30963   -0.18566545945945914    1.7071207027027022  
  NGC_6250            64           7.38021   -0.17443556756756717    1.8065561621621604  
  NGC_6281            456          8.71012   0.2338309729729725      2.0847162162162154  
  NGC_6383            211          6.59988   -0.3380038918918916     2.5968756216216238  
  NGC_6405            534          7.54033   -0.13323205405405358    2.6152106486486506  
  NGC_6416            119          8.35984   0.05335945945945875     1.351777783783784   
  NGC_6425            94           8.67025   0.21114697297297386     1.4058532432432445  
  NGC_6475            985          8.35025   0.060093675675676694    2.596908432432433   
  NGC_6494            682          8.57978   0.1460659459459458      1.6456167567567566  
  NGC_6561            49           7.26951   -0.18681054054054033    1.9493725945945946  
  NGC_6633            265          8.84011   0.31330632432432504     2.258004702702703   
  NGC_6709            256          8.28103   0.02449043243243368     1.7581324864864856  
  NGC_6716            433          7.98989   -0.04418908108108055    1.9113942162162167  
  NGC_6793            205          8.48996   0.10299189189189223     1.9305825945945927  
  NGC_6800            81           8.60959   0.17494518918919016     1.4292332972972974  
  NGC_6940            427          9.13033   0.5527911351351349      1.6259203783783769  
  NGC_6991            181          9.19033   0.6152166486486491      2.0883434054054026  
  NGC_6997            256          8.81023   0.28514113513513506     1.4458488108108105  
  NGC_7024            76           8.32015   0.04085594594594624     1.4057204324324337  
  NGC_7031            141          8.19033   0.0036710270270269296   0.8892554054054049  
  NGC_7039            95           7.34044   -0.18797167567567571    2.3590995675675663  
  NGC_7063            118          7.98989   -0.03975897297297294    2.1802535135135135  
  NGC_7082            180          7.79029   -0.08246681081081149    1.4883048108108095  
  NGC_7092            186          8.59988   0.17704637837837944     2.523860054054053   
  NGC_7209            341          8.63043   0.20727556756756668     1.5204674594594574  
  NGC_7243            293          8.17026   0.0021686486486486856   1.6737983783783756  
  NGC_752             278          9.06819   0.4933652432432428      2.2928567567567546  
  NGC_886             201          8.91009   0.36383329729729685     0.9797508108108122  
  Pismis_4            122          8.07918   -0.007150270270269293   1.922845405405403   
  Pismis_5            72           7.0       -0.26240221621621723    2.4206408648648643  
  Platais_10          33           8.04139   0.4179345945945955      2.775969621621622   
  Platais_3           102          8.25042   0.1206727027027024      3.243380540540542   
  Platais_8           193          7.48001   -0.08056594594594593    3.9147912432432417  
  Pozzo_1             316          6.98      -0.290314162162162      3.5743047027027     
  RSG_1               125          8.08991   -0.01567913513513458    2.4099491891891884  
  RSG_5               143          7.54033   -0.11096540540540563    3.0345800000000005  
  RSG_7               114          7.58995   -0.11698389189189212    2.7033269189189193  
  RSG_8               152          7.42975   -0.16087016216216143    2.775301189189187   
  Roslund_5           134          7.98989   -0.011935405405405497   2.125454324324326   
  Roslund_6           278          7.94988   -0.04336302702702746    2.6482081621621623  
  Roslund_7           178          8.10037   -0.016527081081080364   1.4175853513513546  
  Ruprecht_145        200          8.91009   0.3820874054054047      2.028240486486486   
  Ruprecht_147        107          9.48001   0.8993706486486495      2.4761485945945947  
  Ruprecht_161        64           8.02119   0.010882486486486431    1.6581989729729745  
  Ruprecht_26         68           7.49969   -0.1409798378378377     1.9188236756756771  
  Ruprecht_91         180          8.13988   -0.01240756756756664    1.5715905945945943  
  Ruprecht_98         97           8.6902    0.20647599999999938     2.1611276216216226  
  Stephenson_1        76           7.45025   -0.11832124324324372    2.994543459459461   
  Stock_1             119          8.62014   0.2509552972972974      2.2974931351351353  
  Stock_10            165          7.91009   -0.04706243243243172    2.5699796216216226  
  Stock_12            115          8.04922   0.03327794594594591     2.3450427027027017  
  Stock_2             1390         8.59988   0.15927497297297216     2.24849610810811    
  Stock_23            64           8.04139   0.09072308108108229     1.976067999999999   
  Stock_7             238          7.85974   -0.07102767567567625    1.7555435675675677  
  Teutsch_35          166          8.0086    -0.005774648648649031   2.4202093513513514  
  Teutsch_38          92           7.57054   -0.12666594594594646    2.3925854594594584  
  Trumpler_10         436          7.51055   -0.14475481081081107    2.8864351351351347  
  Trumpler_2          277          8.04922   -0.03218183783783757    1.652050216216215   
  Trumpler_21         77           7.6902    -0.1046143783783787     1.7166672432432428  
  Trumpler_3          202          7.67025   -0.08087551351351185    2.0739550810810825  
  Turner_5            56           8.51055   0.11971151351351235     2.3180678378378383  
  UBC_1               113          7.84011   -0.03993659459459528    2.847322054054051   
  UBC_11              37           7.82995   -0.06835518918918917    2.4315906486486516  
  UBC_129             204          7.72016   -0.095847027027027      1.7917979459459468  
  UBC_13              49           8.26007   0.042722918918918884    2.0684216216216247  
  UBC_150             123          8.30103   0.03441340540540627     1.5073593513513508  
  UBC_157             197          8.25042   0.029320756756757098    1.6314711891891887  
  UBC_159             55           7.16137   -0.04876124324324366    2.859476810810812   
  UBC_167             32           7.34044   -0.11058481081081095    1.5420584324324322  
  UBC_168             83           7.85974   -0.067429513513514      1.445785567567566   
  UBC_178             46           7.0086    -0.27819048648648637    1.4055754054054048  
  UBC_17a             166          7.26951   -0.20564221621621587    3.156872108108109   
  UBC_17b             99           7.0607    -0.20923540540540522    3.2247887567567535  
  UBC_183             45           7.8202    -0.048863783783784365   1.4704355135135143  
  UBC_2               62           8.30103   0.10585918918918957     2.10144027027027    
  UBC_207             45           7.17898   -0.1376444324324333     3.2128375135135148  
  UBC_250             36           8.51983   0.1707733513513502      1.4531292432432423  
  UBC_26              61           7.55023   -0.10983043243243268    2.3704777297297293  
  UBC_260             104          8.36922   0.07016086486486645     2.103729621621619   
  UBC_31              70           7.41996   0.008325891891891146    2.8585230270270268  
  UBC_32              151          8.13988   0.002235135135135846    2.5475927567567584  
  UBC_323             233          6.94988   -0.3127615675675676     2.1823584864864873  
  UBC_4               57           8.72016   0.23700778378378384     1.3062247027027     
  UBC_480             415          8.32015   0.039084594594593874    2.2649854054054055  
  UBC_5               123          8.30103   0.10662832432432473     2.108095081081083   
  UBC_54              164          8.39967   0.06541800000000075     1.1233730810810802  
  UBC_582             88           7.80003   -0.07551621621621568    1.693513135135136   
  UBC_7               68           7.49969   -0.13551529729729578    3.2426403783783786  
  UBC_8               179          8.69984   0.3225715135135142      2.19928216216216    
  UPK_12              57           8.30103   0.06939508108108189     1.8152085945945966  
  UPK_136             60           8.0607    0.008615837837838314    1.9591094054054048  
  UPK_150             61           7.40993   -0.1663167027027029     2.158444324324323   
  UPK_166             190          7.42975   -0.15866891891891888    2.413893675675674   
  UPK_167             85           8.08991   0.09439502702702607     2.0848780000000007  
  UPK_168             153          7.55991   -0.12692221621621455    2.4469843783783776  
  UPK_185             86           7.85003   -0.06857664864864926    2.2791236216216215  
  UPK_230             61           7.85974   -0.013806378378377837   2.2261158378378374  
  UPK_237             95           8.17898   0.042518162162162976    1.583673945945947   
  UPK_24              140          8.42975   0.12714929729729635     2.0020898918918917  
