#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
Ruprecht_147             , 1747095994824203930 ,    0.20565,    3.47720,    5.02500,    0.44081,    9.48001,    8.01030,   19.81299,    0.00307,   21.81063,    0.18511,   18.47239,    0.01748 
Ruprecht_147             , 1747095994824203931 ,    0.22761,    3.48440,    5.00600,    0.44471,    9.48001,    8.01030,   20.11618,    0.00386,   21.57751,    0.26662,   18.70181,    0.02235 
Ruprecht_147             , 1747095994824203932 ,    0.47076,    3.54060,    4.78500,    0.52192,    9.48001,    8.01030,   17.71044,    0.00091,   19.15072,    0.01774,   16.46684,    0.00328 
Ruprecht_147             , 1747095994824203933 ,    0.39759,    3.52190,    4.85800,    0.48569,    9.48001,    8.01030,   18.80339,    0.00154,   20.56031,    0.05957,   17.47397,    0.00755 
Ruprecht_147             , 1747095994824203934 ,    0.70865,    3.65280,    4.64300,    0.49564,    9.48001,    8.01030,   15.25595,    0.00058,   16.01796,    0.00147,   14.35640,    0.00088 
Ruprecht_147             , 1747095994824203935 ,    0.46275,    3.53830,    4.79300,    0.49155,    9.48001,    8.01030,   17.61325,    0.00088,   19.03051,    0.01592,   16.38414,    0.00306 
Ruprecht_147             , 1747095994958421665*, 9999.00000, 9999.00000, 9999.00000,    0.55076,    9.48001,    8.01030,   13.35005,    0.00045,   13.80673,    0.00059,   12.70588,    0.00055 
Ruprecht_147             , 1747095994824203939 ,    0.34748,    3.51080,    4.89700,    0.51013,    9.48001,    8.01030,   19.05475,    0.00179,   20.66608,    0.07810,   17.70620,    0.00922 
Ruprecht_147             , 1747095994824203940 ,    0.47510,    3.54190,    4.78000,    0.56974,    9.48001,    8.01030,   17.78588,    0.00093,   19.20477,    0.01935,   16.53700,    0.00345 
Ruprecht_147             , 1747095994824203941 ,    0.29812,    3.50160,    4.94600,    0.54481,    9.48001,    8.01030,   19.55616,    0.00253,   21.38678,    0.13857,   18.18076,    0.01399 
Ruprecht_147             , 1747095994824203942 ,    0.29028,    3.50000,    4.95300,    0.45124,    9.48001,    8.01030,   19.42092,    0.00230,   21.15433,    0.11715,   18.08193,    0.01252 
Ruprecht_147             , 1747095994824203946 ,    0.21676,    3.48080,    5.01500,    0.45110,    9.48001,    8.01030,   19.97834,    0.00346,   22.27351,    0.22430,   18.58054,    0.01988 
Ruprecht_147             , 1747095994958421676*, 9999.00000, 9999.00000, 9999.00000,    0.59807,    9.48001,    8.01030,   19.47181,    0.00199,   21.67933,    0.11238,   18.07847,    0.01346 
Ruprecht_147             , 1747095994824203950 ,    0.34015,    3.50960,    4.90600,    0.54241,    9.48001,    8.01030,   19.00914,    0.00174,   20.87252,    0.07489,   17.67415,    0.00888 
Ruprecht_147             , 1747095994824203951 ,    0.21630,    3.48070,    5.01600,    0.48512,    9.48001,    8.01030,   19.99055,    0.00350,   22.04573,    0.22944,   18.58713,    0.02013 
Ruprecht_147             , 1747095994824203952 ,    0.69282,    3.64360,    4.64600,    0.51947,    9.48001,    8.01030,   15.85438,    0.00060,   16.78210,    0.00248,   14.84568,    0.00111 
Ruprecht_147             , 1747095994824203953 ,    0.19295,    3.47200,    5.03700,    0.48610,    9.48001,    8.01030,   21.05110,    0.00835,        NaN,    0.86614,   19.55608,    0.04906 
Ruprecht_147             , 1747095994824203957 ,    0.58101,    3.58240,    4.68700,    0.53979,    9.48001,    8.01030,   16.82842,    0.00070,   18.03882,    0.00674,   15.68053,    0.00184 
Ruprecht_147             , 1747095994824203958 ,    0.19718,    3.47400,    5.03200,    0.55858,    9.48001,    8.01030,   21.16059,    0.00928,   23.02760,    1.01925,   19.74060,    0.05442 
Ruprecht_147             , 1747095994958421688*, 9999.00000, 9999.00000, 9999.00000,    0.52952,    9.48001,    8.01030,   20.51779,    0.00445,   22.94735,    0.33902,   18.97581,    0.03310 
Ruprecht_147             , 1747095994824203962 ,    0.19877,    3.47480,    5.03100,    0.50801,    9.48001,    8.01030,   21.16504,    0.00926,        NaN,    1.01205,   19.68996,    0.05435 
Ruprecht_147             , 1747095994824203963 ,    0.19176,    3.47150,    5.03800,    0.51333,    9.48001,    8.01030,   21.03670,    0.00832,   23.92810,    0.86282,   19.51913,    0.04885 
Ruprecht_147             , 1747095994824203964 ,    0.18382,    3.46780,    5.04700,    0.51497,    9.48001,    8.01030,   20.88892,    0.00735,   23.12043,    0.71714,   19.49198,    0.04318 
Ruprecht_147             , 1747095994958421694A,    0.42320,    3.52810,    4.83200,    0.50237,    9.48001,    8.01030,   18.17597,    0.00110,   19.72512,    0.02951,   16.89057,    0.00462 
Ruprecht_147             , 1747095994958421694B,    0.21400,    3.51600,    4.27100,    0.50237,    9.48001,    8.01030,   19.96973,    0.00345,   21.98348,    0.22432,   18.54888,    0.01980 
Ruprecht_147             , 1747095994824203968 ,    0.29076,    3.50010,    4.95300,    0.57806,    9.48001,    8.01030,   19.50972,    0.00244,   21.29123,    0.13181,   18.13360,    0.01342 
Ruprecht_147             , 1747095994824203969 ,    0.65398,    3.62130,    4.65400,    0.53809,    9.48001,    8.01030,   15.98325,    0.00061,   16.95110,    0.00281,   14.95069,    0.00118 
Ruprecht_147             , 1747095994824203970 ,    0.35359,    3.51200,    4.89200,    0.60514,    9.48001,    8.01030,   18.50878,    0.00130,   20.11053,    0.04327,   17.20331,    0.00595 
Ruprecht_147             , 1747095994958421700*, 9999.00000, 9999.00000, 9999.00000,    0.57150,    9.48001,    8.01030,   15.83742,    0.00050,   16.86133,    0.00268,   14.77074,    0.00106 
Ruprecht_147             , 1747095994958421703*, 9999.00000, 9999.00000, 9999.00000,    0.59443,    9.48001,    8.01030,   15.10657,    0.00048,   15.85393,    0.00136,   14.21558,    0.00082 
Ruprecht_147             , 1747095994824203977 ,    0.18822,    3.46980,    5.04200,    0.51921,    9.48001,    8.01030,   20.98934,    0.00789,   23.18389,    0.79813,   19.44607,    0.04636 
Ruprecht_147             , 1747095994824203978 ,    0.73579,    3.66840,    4.63900,    0.49421,    9.48001,    8.01030,   15.02605,    0.00057,   15.73096,    0.00124,   14.17021,    0.00081 
Ruprecht_147             , 1747095994824203979 ,    0.21221,    3.47930,    5.01900,    0.54448,    9.48001,    8.01030,   19.97281,    0.00346,   22.25283,    0.22608,   18.56295,    0.01984 
Ruprecht_147             , 1747095994824203980 ,    0.27252,    3.49640,    4.96800,    0.51420,    9.48001,    8.01030,   19.29128,    0.00210,   20.95799,    0.10224,   17.95565,    0.01123 
